datum	temp_4 hrs	temp_8 hrs	temp_12 hrs	temp_16 hrs	temp_20 hrs	temp_24 hrs	prec_4 hrs	prec_8 hrs	prec_12 hrs	prec_16 hrs	prec_20 hrs	prec_24 hrs
24.03.2024	4,62	3,65	7,68	8,16	6,02	3,86	0,0	0,0	0,0	0,0	0,2	0,1
25.03.2024	4,55	4,94	7,74	8,67	6,44	2,07	0,4	0,8	0,1	0,5	0,0	0,0
23.03.2024	8,75	8,27	16,2	11,9	7,32	6,09	0,0	0,0	0,0	3,0	0,0	0,0
22.03.2024	10,85	8,63	11,22	14,69	12,15	9,4	0,0	0,0	0,0	0,0	0,0	0,0
21.03.2024	2,06	3,0	11,52	16,13	12,89	11,06	0,0	0,0	0,0	0,0	0,0	0,0
20.03.2024	-1,13	-1,01	7,05	13,3	9,55	5,86	0,0	0,0	0,0	0,0	0,0	0,0
19.03.2024	1,69	1,56	6,4	7,55	4,6	0,54	0,0	0,0	0,0	0,0	0,0	0,0
18.03.2024	0,29	-0,39	5,35	7,39	2,34	2,08	0,0	0,0	0,0	0,0	0,0	0,0
17.03.2024	5,13	4,4	7,76	9,8	6,91	4,93	0,0	0,0	0,0	0,0	0,0	0,0
